,song_title,song_spotify_id,artists,date_gathered,popularity,album_name,album_release_date,album_spotify_id
47,Pray You Catch Me,7rLDARtJALM7QdiJDMXW7m,Beyoncé,2024-03-26,63,Lemonade,2016-04-23,7dK54iZuOxXFarGhXwEXfF
48,Diva,6GQuF9vzJAVs7fYN9ftBdP,Beyoncé,2024-03-26,56,I AM...SASHA FIERCE - Platinum Edition,2008,3ROfBX6lJLnCmaw1NrP5K9
49,Schoolin' Life,0j20wgAUgBnJ21k6bUcyIz,Beyoncé,2024-03-26,34,4,2011,6sUoihv7EBflLLP4VriHUe
50,MOOD 4 EVA (feat. Oumou Sangaré),7oqftogUN82Q7VNy2TmTJW,"Beyoncé, JAY-Z, Childish Gambino, Oumou Sangaré",2024-03-26,53,The Lion King: The Gift,2019-07-19,552zi1M53PQAX5OH4FIdTx
51,Freedom (feat. Kendrick Lamar),7aBxcRw77817BrkdPChAGY,"Beyoncé, Kendrick Lamar",2024-03-26,62,Lemonade,2016-04-23,7dK54iZuOxXFarGhXwEXfF
52,Mi Gente (feat. Beyoncé),1DoK3CdipMjplLk5LXUdcp,"J Balvin, Willy William, Beyoncé",2024-03-26,62,Mi Gente (feat. Beyoncé),2017-09-28,6n3GgUWQckMKvJbsfSEKAW
53,Irreplaceable,07lxDm1s8FVO4GF54Nooiz,Beyoncé,2024-03-26,42,B'Day,2006-08-29,3MJHoQUI828kmB6IpjejbW
54,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,"Blue Ivy, SAINt JHN, Beyoncé, Wizkid",2024-03-26,62,The Lion King: The Gift,2019-07-19,552zi1M53PQAX5OH4FIdTx
55,Baby Boy (feat. Sean Paul),4WY3HyGXsWqjFRCVD6gnTe,"Beyoncé, Sean Paul",2024-03-26,69,Dangerously In Love,2003-06-24,6oxVabMIqCMJRYN1GqR3Vf
56,BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,Beyoncé,2024-03-26,67,BREAK MY SOUL,2022-06-21,5JgCaA43ECaGeqbPEo6WUP
57,All Night,7oAuqs6akGnPU3Tb00ZmyM,Beyoncé,2024-03-26,65,Lemonade,2016-04-23,7dK54iZuOxXFarGhXwEXfF
58,XO,40xhyfAPDoMtv494MfPevP,Beyoncé,2024-03-26,68,BEYONCÉ [Platinum Edition],2014-11-24,2UJwKSBUz6rtW4QLK74kQu
59,Ring The Alarm,4pVFPKuNNZtKMq7rQjYh32,Beyoncé,2024-03-26,11,B'Day,2006-08-29,3MJHoQUI828kmB6IpjejbW
60,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,Beyoncé,2024-03-26,69,I AM...SASHA FIERCE,2008-11-17,39P7VD7qlg3Z0ltq60eHp7
61,Beautiful Liar,2HWWNoWEEEECwZhAiLg7ib,"Beyoncé, Shakira",2024-03-26,71,B'Day Deluxe Edition,2007-05-29,0Zd10MKN5j9KwUST0TdBBB
62,Check On It (feat. Bun B & Slim Thug),2RWxrpsFshOBFwRBRstUlQ,"Beyoncé, Bun B, Slim Thug",2024-03-26,61,B'Day,2006-09-04,77eZ5eMEh3U0KWricrbevO
63,Mine (feat. Drake),63FrXif0Pdu4NAPvTh87mw,"Beyoncé, Drake",2024-03-26,59,BEYONCÉ [Platinum Edition],2014-11-24,2UJwKSBUz6rtW4QLK74kQu
64,Party (feat. André 3000),42qh86p7TLXyumxSHn65kc,"Beyoncé, André 3000",2024-03-26,60,4,2011-06-24,1gIC63gC3B7o7FfpPACZQJ
65,Deja Vu (feat. Jay-Z),3fDLrzTTj6wUvMIMG57Qu9,"Beyoncé, JAY-Z",2024-03-26,25,B'Day,2006-08-29,3MJHoQUI828kmB6IpjejbW
66,"Me, Myself and I",3pxJuMLjNPtiC0fX8EHFlF,Beyoncé,2024-03-26,59,Dangerously In Love,2003-03-10,06v9eHnqhMK2tbM2Iz3p0Y
67,Dance for You,7FiZqVOb86htTOt2GwDlKC,Beyoncé,2024-03-26,41,4,2011,6sUoihv7EBflLLP4VriHUe
68,Freakum Dress,6bj69qAg4JOErXXbWwyKUt,Beyoncé,2024-03-26,13,B'Day,2006-08-29,3MJHoQUI828kmB6IpjejbW
69,Pretty Hurts,7lUA4P03AhwAw40JHkdyGr,Beyoncé,2024-03-26,64,BEYONCÉ [Platinum Edition],2014-11-24,2UJwKSBUz6rtW4QLK74kQu
